Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Description,Car Features,Images URL's,Car Profile
1078884871,Suzuki Bolan,Suzuki,Bolan,2014,59000,780000,Petrol,Sindh,Original,Local,Manual,Used,"Korangi, Karachi","SALAM
 HIGHROOF 2014
 EURO2 SEALED ENGINE
 NEW BATTERY
 NEW TYRES
 NEW SEPAKER
 NEW SEATS PAPERS
 ALL CLERAD PLUS TAX ALSO UPTO 2023 JUST BUY ND DRIVE DEMAND 870 CALL ME (View phone number) THANKS",AM/FM Radio,"['https://images.olx.com.pk/thumbnails/411911200-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911201-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911202-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911203-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911204-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911205-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911206-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911207-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911208-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411911209-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-bolan-iid-1078884871
1079614386,cultus vxri power window,Suzuki,Cultus VXR,2009,74000,1080000,Petrol,Karachi,Original,Local,Manual,Used,"Scheme 33 - Sector 15-A, Karachi",good condition just new drive orginal condition both new tires ac working new sound system orginal through out petrol only,"Air Conditioning, AM/FM Radio, CD Player, Cassette Player, Power Windows, Rear AC Vents, Rear speakers, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/407198724-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198725-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198726-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198727-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198728-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198729-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198730-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/407198731-800x600.jpeg']",https://www.olx.com.pk/item/cultus-vxri-power-window-iid-1079614386
1080609083,Honda City Aspire 1.5 i-VTEC 2015,Honda,City Aspire,2015,77000,2660000,Petrol,Karachi,Original,Local,Manual,Used,"Qayyumabad, Karachi","Honda City Aspire 1.5 (Manual Transmission)
Tax paid till December 2023
Second owner
Milage is 77,000 km
Own Engine sealed/soundless, pristine condition
Excellent smooth Suspension
Inside 100% original
Outside some touchups due to scratches
Non accidental car
Child Ac/heater
Lcd back camera
Abs Break
Adjustable and Electric Power Stearing
Power windows
Power mirrors
Central locking
Fog lamp
Alloy Rims
Dunlop tyres installed in Good Condition
Just Buy and Drive
All documents clear
Transfer mandatory
Price is slightly negotiable","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera","['https://images.olx.com.pk/thumbnails/413127433-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127434-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127435-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127436-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127437-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127438-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127439-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127440-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127441-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127442-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127443-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127444-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127445-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127446-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127447-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127448-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127449-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127450-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413127452-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413321614-800x600.jpeg']",https://www.olx.com.pk/item/honda-city-aspire-15-i-vtec-2015-iid-1080609083
1080558875,HONDA CITY 2006 FOR SALE,Honda,City IDSI,2006,186542,1665000,Petrol,Lahore,Original,Local,Manual,Used,"Mustafa Town, Lahore",Honda city 2006 original documents token update alloy wheels yokohama tyer fit engine smooth drive outer sides shower all in side original sires buyer call me plz,"Air Conditioning, Alloy Rims","['https://images.olx.com.pk/thumbnails/412826850-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412826851-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412826852-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412826853-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412826854-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412826855-800x600.jpeg']",https://www.olx.com.pk/item/honda-city-2006-for-sale-iid-1080558875
1080806314,Suzuki Swift 2021,Suzuki,Swift,2021,35000,3250000,Petrol,Lahore,Original,Local,Automatic,Used,"Nazimabad 4, Karachi","Suzuki Swift 2021,
immaculate condition, family used car just like new. 
super white. 
chilled AC
on my name. 
price is slightly negotiable. 
serious buyers only.","ABS, Air Conditioning, Alloy Rims, Front Speakers, Power Locks, Power Steering, Power Windows, Rear speakers","['https://images.olx.com.pk/thumbnails/414308417-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414308418-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414308419-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414308420-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-swift-2021-iid-1080806314
1080316049,HONDA CITY 2006,Honda,City Vario,2006,12345,1550000,Petrol,Karachi,Original,Local,Automatic,Used,"DHA Phase 4, Karachi","VERY WELL MAINTAINED CAR
SILVER COLOR 
CHILLED AC
FRESH LOOK
2 OR 3 PIECE TOUCHUP
ALLOY RIM
OWN POWERFULL ENGINE 
POWER WINDOW
NO WORK REQUIRED 
JUST BUY AND DRIVE","Air Conditioning, Alloy Rims, CD Player, Power Locks, Power Steering, Power Windows","['https://images.olx.com.pk/thumbnails/411392490-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392491-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392492-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392493-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392494-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392495-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392496-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392497-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411392498-800x600.jpeg']",https://www.olx.com.pk/item/honda-city-2006-iid-1080316049
1080883772,Bumper to Bumper Original 2005 Santro Executive(power steering/window),Hyundai,Santro,2005,85000,1140000,Petrol,Lahore,Original,Local,Manual,Used,"DHA Defence, Lahore","SALAAM. 
Get ready guyz I am putting on the market my dec 2004 model 2005 registered Hyundai Santro encompassing traits like 
** Executive model
** Company fitted power window. . power steering
**. Original engine which Gives and immaculate fuel consumption of 16-17km/L. . 
Bumper to Bumper Original condition(100% confirmed) 
** company fitted and AC""(chilled AC) cng never installed 
**Third owner car. own name
** 13"" new tyres and original Caps
**Original leather poshish
Minor 1-2 dry dents but never accidented or painted
original intact engine
All electric sensors woking perfectly
engine and suspension in almost 100% condition 
only serious customers are requested to call","Air Conditioning, AM/FM Radio, CD Player, Power Mirrors, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/414776228-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776229-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776230-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776231-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776232-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776233-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776234-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776235-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776236-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776237-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776238-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776239-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776240-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776241-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776242-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776243-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776244-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776245-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776246-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414776247-800x600.jpeg']",
1078420313,Hyundai santro 2007,Hyundai,Santro,2007,148000,1060000,Petrol,Lahore,Original,Local,Manual,Used,"Sabzazar, Lahore","Hi
i am selling 
¶=Hyundai santro exec 2007
¶=color black
¶=power window
¶=power stearing
¶=70% original paint
¶=awesome condition
¶=company fitted CNG 
¶=original Documents
¶=Alloy rim tubeless tyre
urgent sale only serious buyer contact me 
0323/4/5/4/6/0/3/5","Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Keyless Entry, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/400079531-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079525-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079526-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079527-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079528-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079529-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079530-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079532-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079533-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079534-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079536-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079538-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079540-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079541-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079543-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/400079545-800x600.jpeg']",
1080780859,Honda city Aspire 1.5MT,Honda,City Aspire,2018,160000,4200000,Petrol,Islamabad,Original,Local,Manual,Used,"Blue Area, Islamabad","Honda City Aspire 1.5MT Model 2018, color White, super excellent condition , No accident , single hand driven by executive officer , 100% company maintained , islamabad registered, original document, first hand, love to have it.","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/414148567-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148568-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148569-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148570-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148571-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148572-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148573-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148574-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148575-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148576-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148577-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148578-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148579-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148580-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148581-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148582-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148583-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148584-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414148585-800x600.jpeg']",https://www.olx.com.pk/item/honda-city-aspire-15mt-iid-1080780859
1080149263,Suzuki Ravi for sale.,Suzuki,Ravi,2008,5000,445000,Petrol,Karachi,Original,Local,Manual,Used,"Baldia Town, Karachi","Used intercity only for light weight deliveries, kept with utmost care with timely oil changes and services.",CD Player,"['https://images.olx.com.pk/thumbnails/410389938-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410389939-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410389940-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410389941-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-ravi-for-sale-iid-1080149263
